SegmentName,Lat1,Lat2,Lon1,Lon2,Length,Spr.Rate,Spr.Azimuth,MeanDepth,Stdev.Depth,MinMaxDepth,PolygonWidth,MinDepth,MaxDepth,Boundary,SegmentName,dist2hp,hotspot
CHIL21,-42.004,-43.002,-83.718,-83.435,113.3455,57.48,80.6,-3606,263,1116,10,-4157,-3041,NazcAnta,NA,NA,NA
CHIL22,-42.986,-43.846,-82.762,-82.464,98.5375,57.58,79.89,-3399,281,1046,10,-3800,-2754,NazcAnta,CHIL22,1048,Juan
CHIL23,-43.815,-44.698,-82.457,-82.067,102.9731,57.65,79.64,-3384,197,740,10,-3772,-3032,NazcAnta,CHIL23,1142,Juan
CHIL24,-44.707,-44.984,-81.972,-81.894,31.3761,57.7,79.4,-3594,97,439,10,-3857,-3418,NazcAnta,CHIL24,1209,Juan
CHIL25,-44.395,-45.781,-78.404,-77.859,159.9137,57.75,76.56,-3222,334,1474,10,-3923,-2448,NazcAnta,CHIL25,1301,Juan
CHIL26,-45.632,-45.933,-76.888,-76.725,35.8185,57.78,75.59,-3700,243,804,10,-4139,-3335,NazcAnta,CHIL26,1412,Juan
CHIL27,-45.825,-46.292,-75.981,-75.804,53.7087,57.8,74.91,-3182,121,566,10,-3342,-2776,NazcAnta,CHIL27,1470,Juan
CHIL3,-36.386,-36.989,-97.081,-97.074,66.9756,56.38,90.92,-3939,286,1124,10,-4586,-3462,NazcAnta,CHIL3,1310,Juan
CHIL4,-36.994,-37.09,-96.203,-96.189,10.7699,56.46,90.23,-4147,201,529,10,-4419,-3891,NazcAnta,CHIL7,1080,Juan
CHIL5,-37.056,-37.322,-95.338,-95.331,29.5067,56.49,89.56,-3974,262,844,10,-4353,-3509,NazcAnta,NA,NA,NA
CHIL6,-37.31,-38.123,-94.12,-94.077,90.4454,56.61,88.6,-3370,263,949,10,-3924,-2975,NazcAnta,NA,NA,NA
CHIL7,-38.073,-38.301,-93.858,-93.85,25.3934,56.7,88.41,-3634,138,466,10,-3898,-3431,NazcAnta,NA,NA,NA
CHIL8,-38.287,-38.397,-92.946,-92.94,12.2652,56.74,87.71,-3325,179,556,10,-3694,-3138,NazcAnta,NA,NA,NA
CHIL9,-38.418,-38.949,-92.582,-92.54,59.1596,56.81,87.42,-3797,141,490,10,-4036,-3546,NazcAnta,CHIL9,1001,Juan
CIRR1,-25.227,-25.481,69.914,70.017,30.1219,47.38,60.15,-4161,76,344,10,-4265,-3921,AfriAust,CIRR1a,1506,Reunion
CIRR10,-20.766,-21.041,68.561,68.747,36.2226,43.24,59.24,-3219,101,307,10,-3417,-3110,AfriAust,CIRR10a,1314,Reunion
CIRR11,-20.303,-20.836,68.039,68.383,69.2565,42.75,59.64,-2856,119,509,10,-3173,-2664,AfriAust,CIRR11,1270,Reunion
CIRR12,-20.103,-20.406,67.545,67.737,39.1876,42.23,60.24,-3368,146,407,10,-3581,-3175,AfriAust,CIRR12a,1214,Reunion
CIRR13,-19.992,-20.366,66.737,67.003,50.0091,41.82,61.3,-3445,264,841,10,-4036,-3195,AfriAust,CIRR13a,1135,Reunion
CIRR14,-19.346,-20.258,65.716,66.394,123.7548,41.13,62.25,-2900,296,1016,10,-3465,-2449,AfriAust,CIRR14a,1056,Reunion
CIRR15,-19.065,-19.337,65.537,65.71,35.3591,40.42,62.51,-2841,59,177,10,-2947,-2771,AfriAust,CIRR15,1024,Reunion
CIRR16,-18.763,-18.998,65.424,65.567,30.2245,40.08,62.5,-2978,104,302,10,-3103,-2801,AfriAust,CIRR16,1020,Reunion
CIRR17,-17.953,-18.715,65.038,65.499,97.7766,39.49,62.48,-3119,268,701,10,-3468,-2767,AfriAust,CIRR17,1015,Reunion
CIRR18,-16.558,-16.956,66.481,66.85,59.2538,38.75,59.19,-3540,436,1452,10,-4371,-2919,AfriAust,NA,NA,NA
CIRR19,-15.581,-16.008,67.091,67.446,60.6965,38.22,57.5,-3560,256,1093,10,-4123,-3031,AfriAust,CIRR19a,1322,Reunion
CIRR2,-24.711,-25.14,69.851,70.112,54.4423,47.05,59.89,-3654,164,766,10,-3895,-3129,AfriAust,CIRR2,1496,Reunion
CIRR20,-14.792,-15.442,66.73,67.256,91.6583,37.49,57.35,-3248,184,745,10,-3696,-2951,AfriAust,NA,NA,NA
CIRR21,-13.948,-14.867,65.859,66.577,128.1012,36.45,57.96,-2882,312,1387,10,-3869,-2482,AfriAust,NA,NA,NA
CIRR22,-12.72,-13.307,66.307,66.724,79.3472,35.39,56.21,-3540,398,1648,10,-4782,-3135,AfriAust,CIRR22a,1427,Reunion
CIRR23,-12.075,-12.751,65.673,66.198,94.367,34.53,56.58,-3542,362,1408,10,-4234,-2825,AfriAust,CIRR23a,1424,Reunion
CIRR24,-11.196,-11.587,66.126,66.453,56.2591,33.83,54.97,-3619,361,1256,10,-4408,-3152,AfriAust,NA,NA,NA
CIRR25,-10.325,-10.857,66.267,66.693,75.1582,33.25,53.8,-3633,400,1247,10,-4254,-3007,AfriAust,CIRR25a,1610,Reunion
CIRR26,-9.654,-9.907,66.595,66.834,38.4662,32.7,52.5,-3894,297,865,10,-4365,-3500,AfriAust,NA,NA,NA
CIRR27,-7.824,-8.28,67.88,68.278,67.0707,34.91,40.31,-3656,553,1884,10,-4724,-2840,AfriIndi,CIRR27a,1938,Reunion
CIRR28,-7.103,-7.455,67.915,68.27,55.2795,34.66,39.8,-3482,195,693,10,-3833,-3140,AfriIndi,NA,NA,NA
CIRR29,-6.056,-6.549,68.013,68.535,79.6491,34.41,39.03,-3462,466,1588,10,-4448,-2859,AfriIndi,CIRR29a,2102,Reunion
CIRR3,-23.771,-24.641,69.454,69.886,106.2739,46.36,59.89,-3373,353,1231,10,-3856,-2624,AfriAust,CIRR3a,1447,Reunion
CIRR30,-5.217,-5.383,68.525,68.704,27.1095,34.22,38.13,-4250,356,1061,10,-4787,-3726,AfriIndi,CIRR30a,2213,Reunion
CIRR31,-4.885,-5.102,68.39,68.589,32.6585,34.07,37.99,-3785,127,547,10,-3979,-3432,AfriIndi,NA,NA,NA
CIRR32,-4.088,-4.53,68.278,68.774,73.7443,33.86,37.48,-3773,213,706,10,-4272,-3566,AfriIndi,CIRR32a,2297,Reunion
CIRR33,-3.248,-3.717,68.004,68.633,87.1183,33.5,37.01,-3080,349,1237,10,-3876,-2639,AfriIndi,NA,NA,NA
CIRR34,-2.656,-2.85,67.977,68.19,32.0339,33.16,36.61,-3668,74,235,10,-3764,-3529,AfriIndi,NA,NA,NA
CIRR35,-2,-2.248,67.951,68.278,45.6786,32.97,36.11,-3644,274,809,10,-4098,-3289,AfriIndi,NA,NA,NA
CIRR36,-1.389,-1.841,67.419,68.048,86.0812,32.64,35.94,-3566,331,1022,10,-3979,-2957,AfriIndi,CIRR36a,2503,Reunion
CIRR37,-0.778,-1.035,67.251,67.605,48.6672,32.27,35.56,-3053,296,1289,10,-3639,-2350,AfriIndi,NA,NA,NA
CIRR38,-0.424,-0.654,67.038,67.392,46.9975,32.05,35.38,-3522,171,563,10,-3714,-3151,AfriIndi,NA,NA,NA
CIRR39,0.001,-0.132,67.074,67.206,20.9,31.86,35.03,-3761,154,445,10,-3987,-3542,AfriIndi,NA,NA,NA
CIRR4,-23.153,-23.72,69.145,69.488,72.1274,45.59,59.91,-3428,341,1212,10,-4005,-2793,AfriAust,NA,NA,NA
CIRR40,0.258,0.134,66.958,67.118,22.4666,31.73,34.87,-3497,44,169,10,-3564,-3395,AfriIndi,NA,NA,NA
CIRR41,0.595,0.356,66.737,67.056,44.3251,31.57,34.72,-3371,195,624,10,-3755,-3131,AfriIndi,NA,NA,NA
CIRR42,0.819,1.095,66.871,66.551,46.9941,31.32,34.41,-2899,475,1346,10,-3484,-2137,AfriIndi,NA,NA,NA
CIRR43,1.492,1.825,66.929,66.596,52.3795,31.12,33.76,-3342,314,959,10,-3717,-2758,AfriIndi,NA,NA,NA
CIRR44,2.325,3.093,66.75,65.59,154.5852,30.49,33.14,-3369,269,978,10,-3864,-2886,AfriIndi,CIRR44a,2684,Afar
CIRR45,3.074,2.946,65.288,65.468,24.483,30,33.31,-3864,109,399,10,-4005,-3606,AfriIndi,NA,NA,NA
CIRR46,3.675,2.915,64.115,65.178,145.193,29.54,33.46,-3825,268,967,10,-4265,-3298,AfriIndi,NA,NA,NA
CIRR47,3.746,3.675,63.61,64.079,52.6867,28.99,33.52,-4078,186,617,10,-4385,-3768,AfriIndi,CIRR47,2404,Afar
CIRR48,3.932,3.737,63.255,63.548,38.9871,28.72,33.66,-3962,143,545,10,-4310,-3765,AfriIndi,NA,NA,NA
CIRR49,4.231,3.841,62.68,63.154,68.1763,28.4,33.76,-3353,171,675,10,-3868,-3194,AfriIndi,NA,NA,NA
CIRR5,-22.883,-23.076,69.165,69.283,24.675,45.19,59.77,-3504,96,304,10,-3667,-3364,AfriAust,NA,NA,NA
CIRR50,4.934,4.321,62.039,62.699,100.0197,27.91,33.47,-3297,500,1605,10,-3783,-2178,AfriIndi,NA,NA,NA
CIRR51,5.559,5.094,61.616,62.199,82.7776,27.43,33,-3338,327,1272,10,-3901,-2629,AfriIndi,NA,NA,NA
CIRR52,6.059,5.6,60.863,61.607,96.8198,26.89,32.85,-3750,357,1147,10,-4335,-3188,AfriIndi,NA,NA,NA
CIRR53,6.437,6.147,60.394,60.837,58.6543,26.4,32.71,-3706,298,830,10,-4182,-3351,AfriIndi,CIRR53,1982,Afar
CIRR54,6.71,6.428,60.119,60.429,46.413,26.11,32.6,-3385,287,785,10,-3728,-2943,AfriIndi,NA,NA,NA
CIRR55,7.323,6.821,59.61,60.2,85.7581,25.73,32.23,-3345,404,1790,10,-4357,-2567,AfriIndi,NA,NA,NA
CIRR56,8.067,7.605,59.027,59.764,96.0629,25.18,31.59,-3175,602,2041,10,-4011,-1970,AfriIndi,NA,NA,NA
CIRR57,8.522,8.011,58.341,59.053,96.7874,24.64,31.49,-3426,211,751,10,-3827,-3075,AfriIndi,NA,NA,NA
CIRR58,8.922,8.777,58.213,58.444,30.0796,24.23,30.95,-4102,193,601,10,-4355,-3754,AfriIndi,NA,NA,NA
CIRR59,9.39,9.131,57.95,58.36,53.4527,23.99,30.49,-3830,158,434,10,-4055,-3621,AfriIndi,NA,NA,NA
CIRR6,-22.191,-22.657,69.04,69.404,63.9427,44.74,59.43,-3544,224,867,10,-4097,-3230,AfriAust,NA,NA,NA
CIRR60,9.97,9.722,57.509,58.032,63.5822,23.57,29.91,-3820,164,636,10,-4152,-3516,AfriIndi,CIRR60,1618,Afar
CIRR61,10.119,9.834,56.722,57.2,61.2906,23.05,30.25,-3969,259,681,10,-4254,-3573,AfriIndi,NA,NA,NA
CIRR7,-21.748,-22.102,68.985,69.198,45.0108,44.27,59.3,-3290,113,403,10,-3504,-3101,AfriAust,NA,NA,NA
CIRR8,-21.409,-21.733,68.702,68.936,43.4138,43.86,59.45,-3104,126,418,10,-3367,-2950,AfriAust,NA,NA,NA
CIRR9,-21.166,-21.389,68.523,68.686,30.0378,43.52,59.55,-2746,130,390,10,-2970,-2580,AfriAust,NA,NA,NA
EPRR1,31.076,31.376,-114.465,-114.092,48.6822,44.52,136.73,-56,30,153,10,-176,-23,PaciNoam,NA,NA,NA
EPRR10,23.609,23.247,-108.38,-108.646,48.547,47.55,125.75,-2367,49,259,10,-2464,-2205,PaciNoam,NA,NA,NA
EPRR11,22.894,22.25,-108.081,-108.551,86.3525,54.67,89.07,-3005,180,663,10,-3260,-2597,PaciCoco,EPRR11,485,Socorro
